1973,228
1974,204
1975,164
1976,190
1977,190
1978,190
1979,212
1980,157
1981,154.7
1982,137.2
1983,124.8
1984,131.5
1985,120.7
1986,93.9
1987,82
1988,65.6
1989,36.6
1990,27.6
1991,22
1992,19.8
1993,15.1
1994,11.7
1995,10.2
1996,10.1
1997,7.5
1998,5.4
1999,5.3
2000,4.8
2001,5.5
2002,4.4
2003,3.8
2004,3.5
2005,2.3
2006,1.5
2007,0.6
2008,0.4
2009,0.3
2010,0.3
2011,0.4
2012,0.388573687
2013,0.315817054
2014,0.481198278
2015,0.50786991
2016,0.404330651
2017,0.402959365
2018,0.346165002
2019,0.336120488
